MusterCallsDate,MobilizatonSymbol,Countycode,RegistrationAddress,RecallUnit 
2021-05-26,精誠甲字953033,66000,臺中市新社區大南里崑南街243號,七分營區,
2021-05-28,博愛甲字953009,66000,臺中市烏日區中山路三段502號,成功嶺營區,
2021-05-29,忠貞甲字250200,66000,臺中市大雅區中清路五段2號,硬漢營區,
2021-05-29,博愛甲字211204,10013,屏東縣枋寮鄉新開村忠誠路1號,新開營區,
2021-05-29,博愛甲字231205,65000,新北市淡水區中正路二段53號,忠莊營區,
2021-05-29,博愛甲字251107,66000,臺中市烏日區中山路三段502號,成功嶺營區,
2021-05-29,大業甲字240302,10013,屏東縣內埔鄉龍泉村中勝路415號,龍泉營區,
2021-05-29,精誠甲字231303,10005,苗栗縣頭份市斗煥里1991號,斗煥坪營區,
2021-05-29,精誠甲字131800,10004,新竹縣湖口鄉勝利路二段3號,湖口三營區,
2021-05-29,精誠甲字251200,66000,臺中市大雅區忠義里信義路126號,北大營區,
2021-05-31,博愛甲字952013,66000,臺中市烏日區中山路三段502號,成功嶺營區,
2021-06-01,精誠甲字933031,10004,新竹縣湖口鄉八德路三段11巷12號,長安營區,
2021-06-01,仁愛甲字921008,10015,花蓮縣新城鄉佳林村佳林105號,佳山基地,
2021-06-02,仁愛甲字921009,10015,花蓮縣新城鄉佳林村佳林105號,佳山基地,
2021-06-03,仁愛甲字921010,10015,花蓮縣新城鄉佳林村佳林105號,佳山基地,
2021-06-05,忠信甲字130500,63000,臺北市大安區和平東路三段170號,基信營區,
2021-06-05,忠信甲字130600,63000,臺北市大安區和平東路三段170號,基信營區,
2021-06-05,博愛甲字252100,66000,臺中市烏日區中山路三段502號,成功嶺營區,
2021-06-05,博愛甲字231101,65000,新北市淡水區中正路二段53號,忠莊營區,
2021-06-05,博愛甲字231102,65000,新北市淡水區中正路二段53號,忠莊營區,
2021-06-05,博愛甲字231108,65000,新北市淡水區中正路二段53號,忠莊營區,
2021-06-05,博愛甲字231109,65000,新北市淡水區中正路二段53號,忠莊營區,
2021-06-05,博愛甲字211205,10013,屏東縣枋寮鄉新開村忠誠路1號,新開營區,
2021-06-07,大業甲字943002,64000,高雄市林園區潭頭村潭頭路803號,勾踐營區,
2021-06-08,大業甲字943005,64000,高雄市林園區潭頭村潭頭路803號,勾踐營區,
2021-06-08,仁愛甲字933013,68000,桃園市八德區興豐路886號,八德營區,
2021-06-08,仁愛甲字932011,68000,桃園市楊梅區楊梅路一段367巷51號,慧星營區,
2021-06-08,仁愛甲字943005,10013,屏東縣枋山鄉加祿村加祿路192號,加祿堂營區,
2021-06-09,忠貞甲字942003,64000,高雄市鳥松區忠義路500號,鐵衛營區,
2021-06-16,博愛甲字932029,10005,苗栗縣頭份市斗煥里1991號,斗煥坪營區,
2021-06-16,博愛甲字932016,65000,新北市土城區仁愛路23號,仁愛營區,
2021-06-16,大業甲字943003,64000,高雄市林園區潭頭村潭頭路803號,勾踐營區,
2021-06-16,精誠甲字952019,10010,嘉義縣大林鎮中坑里沙崙19號,中坑營區,
2021-06-16,精誠甲字932010,68000,桃園市平鎮區陸光路14巷300號,雙連坡營區,
2021-06-17,精誠甲字952020,10010,嘉義縣大林鎮中坑里沙崙19號,中坑營區,
2021-06-17,博愛甲字932017,65000,新北市土城區仁愛路23號,仁愛營區,
2021-06-17,博愛甲字932030,10005,苗栗縣頭份市斗煥里1991號,斗煥坪營區,
2021-06-17,軍勤甲字931305,68000,桃園市復興區羅浮里37號,復興工務段,
2021-06-18,忠貞甲字952005,66000,臺中市大雅區中清路五段2號,硬漢營區,
2021-06-18,博愛甲字952016,10007,彰化縣彰化市卦山路14號,龍泉營區,
2021-06-18,博愛甲字933009,10005,苗栗縣頭份市斗煥里1991號,斗煥坪營區,
2021-06-18,博愛甲字933010,10005,苗栗縣頭份市斗煥里1991號,斗煥坪營區,
2021-06-18,博愛甲字933011,10005,苗栗縣頭份市斗煥里1991號,斗煥坪營區,
2021-06-18,博愛甲字942002,67000,臺南市北區長榮五段393號,長榮營區,
2021-06-19,忠貞甲字230206,68000,桃園市龜山區公西里文三一街501號,慧敏營區,
2021-06-19,博愛甲字232200,65000,新北市淡水區中正路二段53號,忠莊營區,
2021-06-19,博愛甲字231104,65000,新北市淡水區中正路二段53號,忠莊營區,
2021-06-19,博愛甲字251501,66000,臺中市烏日區中山路三段502號,成功嶺營區,
2021-06-19,博愛甲字251502,66000,臺中市烏日區中山路三段502號,成功嶺營區,
2021-06-19,博愛甲字251508,66000,臺中市烏日區中山路三段502號,成功嶺營區,
2021-06-19,博愛甲字251509,66000,臺中市烏日區中山路三段502號,成功嶺營區,
2021-06-19,大業甲字240306,10013,屏東縣內埔鄉龍泉村中勝路415號,龍泉營區,
2021-06-19,精誠甲字230501,10004,新竹縣關西鎮東平里老?寮1鄰22號,關西營區,
2021-06-19,精誠甲字230502,10004,新竹縣關西鎮東平里老?寮1鄰22號,關西營區,
2021-06-19,精誠甲字231307,10005,苗栗縣頭份鎮斗煥里1991號,斗煥坪營區,
2021-06-19,精誠甲字231308,10005,苗栗縣頭份鎮斗煥里1991號,斗煥坪營區,
2021-06-19,精誠甲字231309,10005,苗栗縣頭份鎮斗煥里1991號,斗煥坪營區,
2021-06-19,精誠甲字250201,66000,臺中市大雅區忠義里信義路126號,北大營區,
2021-06-19,精誠甲字250202,66000,臺中市大雅區忠義里信義路126號,北大營區,
2021-06-19,精誠甲字240905,64000,高雄市鳳山區鳳頂路1000號,金湯營區,
